courseCode,courseNum,PreReq
CPS,101,
CPS,109,
CPS,118,
CPS,125,
CPS,209,109
CPS,213,
CPS,305,393
CPS,310,213
CPS,311,
CPS,313,
CPS,314,
CPS,315,
CPS,393,
CPS,406,
CPS,40A/B,
CPS,411,
CPS,412,
CPS,420,
CPS,501,
CPS,506,
CPS,510,
CPS,511,
CPS,513,
CPS,530,
CPS,590,
CPS,603,
CPS,606,
CPS,607,
CPS,610,
CPS,613,
CPS,615,
CPS,616,
CPS,621,
CPS,630,
CPS,633,
CPS,650,
CPS,706,
CPS,707,
CPS,710,
CPS,713,
CPS,714,
CPS,716,
CPS,721,
CPS,730,
CPS,750,
CPS,752,
CPS,801,
CPS,811,
CPS,813,
CPS,815,
CPS,822,
CPS,831,
CPS,840,
CPS,841,
CPS,842,
CPS,843,
CPS,844,
CPS,845,
CPS,847,
CPS,853,
CPS,883,
CPS,888,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
